Date,WF_selected_lambda,FixedBM_70_20_10,EW,static_lambda_0.1,static_lambda_0.3,static_lambda_0.5,static_lambda_0.7,static_lambda_1.0
2020-06-30,0.017177499605887794,0.033892900000000004,0.016215666666666663,0.019138663001298968,0.017177499605887794,0.01905022636055193,0.022039638794825414,0.024242350000000003
2020-07-31,0.032156264549493725,0.048403,0.02392033333333333,0.029977666070654992,0.032156264549493725,0.038087302156425536,0.0433990663854312,0.048202999999999996
2020-08-31,0.013315249446852657,0.0182292,0.007706666666666667,0.01113288718101258,0.013315249446852657,0.01593546808772893,0.017527384467678736,0.018229199999999997
2020-09-30,0.007397990201509028,0.008568800000000001,0.005122333333333333,0.0064209925224913865,0.007397990201509028,0.008183151650790149,0.008497254941189048,0.0085688
2020-10-31,-0.018170677705282176,-0.0205035,-0.010039666666666665,-0.014785470888643558,-0.018170677705282176,-0.01998161892147517,-0.02045291261489639,-0.0205035
2020-11-30,0.0874200331646607,0.10532340000000001,0.04991633333333334,0.07501295152861556,0.0874200331646607,0.08861956076068116,0.08385673394611029,0.07478275
2020-12-31,0.08582402877206094,0.09729499999999999,0.046530999999999996,0.0722904090871509,0.08582402877206094,0.08965912088160356,0.09135869789487142,0.09709499999999997
2021-01-31,0.02751946038447228,0.029940000000000005,0.014718666666666666,0.023180080183390035,0.02751946038447228,0.0287800855836372,0.029387343262311027,0.029939999999999998
2021-02-28,0.009227356625289274,0.009818300000000002,0.004691666666666667,0.00775724841162044,0.009227356625289274,0.00960821787416657,0.00975489994297397,0.0098183
2021-03-31,0.006576503252989598,0.007738500000000001,0.0033796666666666662,0.005907815456539999,0.006576503252989598,0.006282876018954919,0.005800862975584653,0.0049874
2021-04-30,0.010900196210723117,0.0130667,0.006587333333333332,0.010301462874851586,0.010900196210723117,0.010336326175300588,0.009835885961609279,0.009568199999999999
2021-05-31,0.005094653943125184,0.007419600000000001,0.003261,0.005366662804224313,0.005094653943125184,0.004341766059892144,0.003766887121503337,0.0031625
2021-06-30,0.0097410947697053,0.017916200000000004,0.007610666666666667,0.011976611545442663,0.0097410947697053,0.0070836514429571595,0.005262362168700475,0.0035662000000000007
2021-07-31,-0.010495139306205837,-0.020679700000000002,-0.008608666666666666,-0.013263240345215048,-0.010495139306205837,-0.00849325447754901,-0.008074356679525612,-0.009045749999999998
2021-08-31,-0.002708935552915227,-0.007849400000000001,-0.0032586666666666662,-0.004494475077733487,-0.002708935552915227,-0.001490986947316013,-0.000756768883201064,0.00018669999999999993
2021-09-30,-0.010235169082929265,-0.0310781,-0.016146999999999998,-0.018338400915093686,-0.010235169082929265,-0.005399375558119462,-0.0028729828552971305,-0.0014505
2021-10-31,-0.008411818606149219,-0.024839800000000006,-0.014741666666666669,-0.014955307132767428,-0.008411818606149219,-0.005256136870851203,-0.004044445595763185,-0.0037035999999999996
2021-11-30,0.00018105180683490165,-0.0230326,-0.008332666666666665,-0.007884689992174983,0.00018105180683490165,0.002813847844322851,0.0034560829580814268,0.0035516
2021-12-31,0.005927463347136204,0.0463331,0.023084666666666663,0.01971734002877094,0.005927463347136204,0.0023336072537050888,0.001714928758893906,0.0016665999999999999
2022-01-31,-0.02035358961411857,-0.0642438,-0.03257466666666667,-0.029743248136592314,-0.02035358961411857,-0.025770198372781997,-0.03449290882392207,-0.04824555
2022-02-28,0.0020595814120656004,0.007109000000000001,0.0038489999999999996,0.003293395858974847,0.0020595814120656004,0.001896661215722246,0.0015692866446892152,0.00036379999999999995
2022-03-31,-0.0015521733934544654,0.007191200000000001,0.001244666666666666,0.0003687250896925924,-0.0015521733934544654,-0.0019356406015143203,-0.002315771629532383,-0.0025982
2022-04-30,-0.008661837699481619,-0.021519700000000003,-0.011996333333333333,-0.010046695480413998,-0.008661837699481619,-0.010693490112496205,-0.013141282235371561,-0.01754965
2022-05-31,0.0002419562672181911,-0.0009117000000000001,0.00025199999999999995,0.00031296317024549585,0.0002419562672181911,-1.9181066020483315e-05,-0.00018330035737766117,-0.00018585000000000007
2022-06-30,-0.05813733656506603,-0.09267260000000002,-0.047186,-0.04709370131306894,-0.05813733656506603,-0.07381695095709769,-0.08403541165983386,-0.09287260000000001
2022-07-31,0.020561759174545103,0.03831400000000001,0.023261999999999998,0.021153540038398925,0.020561759174545103,0.019164703156888632,0.014914136622294839,0.0059505
2022-08-31,-0.006462581951052748,-0.006733100000000001,-0.007096666666666666,-0.006469723281216355,-0.006462581951052748,-0.00651820740497235,-0.006682958220711601,-0.0074331
2022-09-30,-0.06388319028700351,-0.08787040000000002,-0.043957333333333334,-0.04884994605326554,-0.06388319028700351,-0.07497367045962357,-0.0823505603665053,-0.0878704
2022-10-31,0.024439298208764865,0.047232600000000007,0.023499999999999997,0.02381468032164924,0.024439298208764865,0.020743717479989852,0.01405986366650486,0.0010783999999999998
2022-11-30,0.03748900987025818,0.053396000000000006,0.030778666666666666,0.0326834164022433,0.03748900987025818,0.04004924670742622,0.04317631594081557,0.052696
2022-12-31,-0.04062165938509944,-0.054131500000000006,-0.025298666666666664,-0.03103688800993985,-0.04062165938509944,-0.04620644648705846,-0.05062743239667813,-0.0541315
2023-01-31,0.051055796801876906,0.0656408,0.03592533333333334,0.04242655077096428,0.051055796801876906,0.05368836586886322,0.053644823833575134,0.0500802
2023-02-28,-0.006781984656585207,-0.007355100000000001,-0.005501333333333333,-0.005825107146989275,-0.006781984656585207,-0.007218209600422165,-0.007414587629824003,-0.007555099999999999
2023-03-31,0.02025635782855155,0.021562100000000004,0.016250333333333332,0.017927341815502474,0.02025635782855155,0.021079666897352602,0.021395542148736426,0.0215621
2023-04-30,0.008336561095187807,0.0089293,0.00556,0.007014029879617832,0.008336561095187807,0.008737253807068386,0.008881331512998405,0.008929299999999998
2023-05-31,0.026811750517205735,0.0285993,0.013570333333333332,0.021031690915821695,0.026811750517205735,0.02819821456489802,0.02854389654398177,0.028599299999999998
2023-06-30,-0.0008968763184058928,-0.0008926000000000001,-0.000771,-0.0007424936237641511,-0.0008968763184058928,-0.0009024308607836576,-0.000894300574187406,-0.0008925999999999998
2023-07-31,0.011503087699433532,0.011769500000000002,0.007302666666666666,0.009905186965748403,0.011503087699433532,0.011739053767224547,0.011767920555211886,0.011769499999999999
2023-08-31,-0.015579397483782042,-0.0176648,-0.007053,-0.013176800773319656,-0.015579397483782042,-0.014878302914062282,-0.013811591706488073,-0.012161700000000001
2023-09-30,-0.014062692030380675,-0.015049700000000003,-0.0072566666666666665,-0.012070735388734847,-0.014062692030380675,-0.014148377255246966,-0.014357836092759398,-0.0152497
2023-10-31,-0.03360714426873694,-0.045399300000000004,-0.021648,-0.03406628597887756,-0.03360714426873694,-0.028017092763084405,-0.022502692382206837,-0.013862300000000004
2023-11-30,0.045308407655321195,0.07931389999999999,0.043260333333333324,0.05663946599537479,0.045308407655321195,0.030312136576766638,0.018776386096367084,0.0078508
2023-12-31,0.03485028013230545,0.048904600000000006,0.027733999999999995,0.03690146695962022,0.03485028013230545,0.034280492164616545,0.03781093476456797,0.0482046
2024-01-31,-0.03258885287360399,-0.04323740000000001,-0.019785999999999998,-0.0313979799317311,-0.03258885287360399,-0.03551027969981871,-0.039885315268266705,-0.0432374
2024-02-29,0.02589009761069484,0.041536300000000005,0.020229333333333332,0.028939331798721147,0.02589009761069484,0.023188658532481594,0.019797951111877227,0.01175805
2024-03-31,0.03184358271769118,0.042357500000000006,0.021855666666666666,0.031445567675567804,0.03184358271769118,0.03352516116908973,0.0359755410629621,0.04185749999999999
2024-04-30,-0.012260709529263098,-0.016241900000000004,-0.007895,-0.012260709529263098,-0.013358586114559073,-0.014592196294682508,-0.015593906505941349,-0.0162419
2024-05-31,-0.006356931026678797,-0.010791199999999999,-0.002930999999999999,-0.006356931026678797,-0.005659391858544602,-0.00471100816957614,-0.0032741997288265397,-0.0003929500000000002
2024-06-30,0.036197905792481215,0.051537000000000006,0.02772433333333333,0.036197905792481215,0.030996339927854985,0.026177535738135804,0.022124716944795456,0.0195325
2024-07-31,-0.0006504370050697323,-0.0031608000000000005,0.0011356666666666666,-0.0006504370050697323,-0.0005497251611138201,-0.0009573301829212163,-0.0018078699881824583,-0.0036608
2024-08-31,-0.021468245615949715,-0.032356100000000006,-0.013545666666666666,-0.021468245615949715,-0.021220966185301806,-0.022123286370126307,-0.02303589224695259,-0.0221917
2024-09-30,-0.01680248641232943,-0.029124500000000005,-0.011727666666666666,-0.01680248641232943,-0.012158549308461894,-0.008164317008613585,-0.0038442226319090923,0.0032524999999999993
2024-10-31,-0.005800563121959108,-0.010615300000000001,-0.004854000000000001,-0.005800563121959108,-0.0031774380350800234,-0.001243906660821588,0.0001576663933831073,0.0010942999999999999
2024-11-30,-0.010705634997582023,-0.0270593,-0.009314333333333332,-0.010705634997582023,-0.0020683605084900105,0.0025628867869376105,0.004769853315085761,0.005430099999999999
2024-12-31,-0.005398538322558761,-0.012552500000000003,-0.005762,-0.005398538322558761,-0.0013913925559009982,0.0003252011205104133,0.0008918299346050844,0.0009864
2025-01-31,0.016193776710346375,0.034024200000000004,0.018312666666666665,0.016193776710346375,0.00712716780119345,0.004259091600025236,0.0036380266730838616,0.0035855999999999996
2025-02-28,0.004696789240868426,0.007648800000000002,0.004765,0.004696789240868426,0.004064140623056516,0.004621825706819242,0.005514953626192426,0.006948799999999999
2025-03-31,0.002096575405712261,0.0023081000000000004,0.002098333333333333,0.002096575405712261,0.0020216408955298563,0.00203147772862568,0.0020852570134259037,0.00196285
2025-04-30,0.009474564619331839,0.0127296,0.009409999999999998,0.009474564619331839,0.00980325661313477,0.010818111628350308,0.011355900593928119,0.01147025
2025-05-31,0.024710513385833403,0.045476,0.02197733333333333,0.024710513385833403,0.02742368463885406,0.03131302957280686,0.03241021442207862,0.03242495
2025-06-30,0.0631885742987812,0.10781650000000001,0.051776,0.0631885742987812,0.07775176946559775,0.09100863317877833,0.09845066686046418,0.10761649999999999
2025-07-31,0.026394798344509866,0.040977400000000004,0.02066666666666667,0.026394798344509866,0.033318970562841,0.037905818311203245,0.03993633910867905,0.0409774
2025-08-31,-0.006483406637763776,-0.0108637,-0.004023333333333333,-0.006483406637763776,-0.009109842673598984,-0.010379510693223428,-0.010774465359519403,-0.010863699999999999
2025-09-30,0.049505785904568694,0.071386,0.033659666666666664,0.049505785904568694,0.06441796142076628,0.06995557805091748,0.0712126223106807,0.07138599999999999
2025-10-31,0.11360637500123405,0.1563584,0.07450933333333332,0.11360637500123405,0.14582336553618594,0.15482655413702662,0.15624805299836253,0.15635839999999998
2025-11-30,-0.023860236553017722,-0.031063,-0.015812,-0.023860236553017722,-0.029724805044929182,-0.030931203334322983,-0.031057642595692058,-0.031062999999999993
2025-12-31,0.042625112632467974,0.06412910000000001,0.028734333333333327,0.042625112632467974,0.04200155780145546,0.030812144297092676,0.017716727824885193,-0.0021681
2026-01-31,0.13433643172285692,0.1891583,0.08984199999999998,0.13433643172285692,0.14503680867011498,0.1415191876815317,0.14913693523256868,0.18845829999999997
2026-02-28,0.11463887271487937,0.1537535,0.07531699999999998,0.11463887271487937,0.12917632443293223,0.13476936964023997,0.1441716625249842,0.1537535
2026-03-31,-0.10912468003251642,-0.14130220000000002,-0.06985,-0.10912468003251642,-0.1255592774423294,-0.13265378955459237,-0.13871658150425684,-0.1413022
